,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.48563155067073377,2025-03-03 15:54:42.392712,2025-03-03 15:54:44.420724,0 days 00:00:02.028012,128,0.4905151724094494,141,0.0014401296800583177,2,COMPLETE
1,1,0.9227916370241611,2025-03-03 15:54:44.421232,2025-03-03 15:54:46.233171,0 days 00:00:01.811939,128,0.04057782638386803,238,0.03699661901487936,3,COMPLETE
2,2,0.0,2025-03-03 15:54:46.233171,2025-03-03 15:54:48.139816,0 days 00:00:01.906645,64,0.3822825560933284,201,1.1129584890957452e-05,2,COMPLETE
3,3,0.0,2025-03-03 15:54:48.139816,2025-03-03 15:54:49.895014,0 days 00:00:01.755198,32,0.16561683536683908,152,0.00056300158314977,1,COMPLETE
4,4,0.0,2025-03-03 15:54:49.895014,2025-03-03 15:54:55.225282,0 days 00:00:05.330268,16,0.35351899021966915,159,0.00020140074935464256,3,COMPLETE
5,5,0.0,2025-03-03 15:54:55.225282,2025-03-03 15:54:56.335089,0 days 00:00:01.109807,64,0.2511578962439966,62,0.02956606252121472,3,COMPLETE
6,6,0.0,2025-03-03 15:54:56.335089,2025-03-03 15:54:57.262858,0 days 00:00:00.927769,32,0.37556469697134215,36,1.9498771831972245e-05,1,COMPLETE
7,7,0.0,2025-03-03 15:54:57.262858,2025-03-03 15:55:02.138017,0 days 00:00:04.875159,16,0.4967731036302988,234,0.00033083579007223856,2,COMPLETE
8,8,0.0,2025-03-03 15:55:02.143169,2025-03-03 15:55:02.846877,0 days 00:00:00.703708,64,0.4362145040353353,78,2.194041388222082e-05,1,COMPLETE
9,9,0.9252917850212334,2025-03-03 15:55:02.846877,2025-03-03 15:55:08.405545,0 days 00:00:05.558668,16,0.06060611476538946,139,0.009855268176151578,3,COMPLETE
10,10,0.0,2025-03-03 15:55:08.409119,2025-03-03 15:55:12.780567,0 days 00:00:04.371448,16,0.01535195652687845,107,0.004912805310334443,3,COMPLETE
11,11,0.0,2025-03-03 15:55:12.780567,2025-03-03 15:55:14.453117,0 days 00:00:01.672550,128,0.0014352454640743084,246,0.08287671866001083,3,COMPLETE
12,12,0.0,2025-03-03 15:55:14.453996,2025-03-03 15:55:15.805730,0 days 00:00:01.351734,128,0.11252927417433528,193,0.011979084055356314,3,COMPLETE
13,13,0.0,2025-03-03 15:55:15.806782,2025-03-03 15:55:16.738591,0 days 00:00:00.931809,128,0.11458427380901426,117,0.09795611585409143,3,COMPLETE
14,14,0.0,2025-03-03 15:55:16.738591,2025-03-03 15:55:20.775409,0 days 00:00:04.036818,16,0.05938318908846158,187,0.0035238015169250765,2,COMPLETE
15,15,0.0,2025-03-03 15:55:20.775409,2025-03-03 15:55:22.272154,0 days 00:00:01.496745,128,0.2099445294697172,228,0.01791006350483583,3,COMPLETE
16,16,0.0,2025-03-03 15:55:22.272687,2025-03-03 15:55:25.458208,0 days 00:00:03.185521,16,0.08314399687187773,110,0.005837612127797296,2,COMPLETE
17,17,0.0,2025-03-03 15:55:25.460008,2025-03-03 15:55:28.565983,0 days 00:00:03.105975,32,0.2790943455290009,172,0.03370138483157429,3,COMPLETE
18,18,0.0,2025-03-03 15:55:28.566484,2025-03-03 15:55:34.180915,0 days 00:00:05.614431,16,0.16433072569861878,256,0.0014308818176999483,2,COMPLETE
19,19,0.0,2025-03-03 15:55:34.180915,2025-03-03 15:55:35.646020,0 days 00:00:01.465105,128,0.06391019032653478,209,0.000122181099534145,3,COMPLETE
