,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0,1.0,2025-03-06 23:36:17.409060,2025-03-06 23:36:45.665215,0 days 00:00:28.256155,0.7467983561008608,0.11616722433639892,0.08927180304353628,5,3,160,0.7468055921327309,COMPLETE
1,1,0.99463048301758,2025-03-06 23:36:45.666212,2025-03-06 23:37:24.328724,0 days 00:00:38.662512,0.9497327922401265,0.4246782213565523,0.039913058785616795,8,1,156,0.9909729556485982,COMPLETE
2,2,0.9919457245263698,2025-03-06 23:37:24.329723,2025-03-06 23:37:51.235968,0 days 00:00:26.906245,0.7873687420594125,1.223705789444759,0.015254729458052608,4,3,95,0.8295835055926347,COMPLETE
3,3,0.9919457245263698,2025-03-06 23:37:51.236968,2025-03-06 23:38:18.694903,0 days 00:00:27.457935,0.7599021346475079,1.0284688768272232,0.019594972058679168,3,3,105,0.935552788417904,COMPLETE
4,4,0.9919457245263698,2025-03-06 23:38:18.695906,2025-03-06 23:39:00.339278,0 days 00:00:41.643372,0.984665661176,1.9312640661491187,0.011128853174905732,6,1,141,0.7195154778955838,COMPLETE
5,5,0.9919457245263698,2025-03-06 23:39:00.340280,2025-03-06 23:39:24.525238,0 days 00:00:24.184958,0.7366114704534336,0.9903538202225404,0.020165721691808594,7,4,64,0.8320457481218804,COMPLETE
6,6,0.9919457245263698,2025-03-06 23:39:24.526238,2025-03-06 23:39:42.343092,0 days 00:00:17.816854,0.8560204063533432,1.0934205586865593,0.08115595675970502,3,4,89,0.7935133228268233,COMPLETE
7,7,0.9919457245263698,2025-03-06 23:39:42.344092,2025-03-06 23:40:06.561333,0 days 00:00:24.217241,0.8793699936433255,1.8437484700462337,0.09323621351781479,4,5,167,0.9684482051282947,COMPLETE
8,8,0.9919457245263698,2025-03-06 23:40:06.564031,2025-03-06 23:40:23.543040,0 days 00:00:16.979009,0.7814047095321688,1.6574750183038587,0.015703008378806716,3,2,56,0.8166031869068446,COMPLETE
9,9,0.9919457245263698,2025-03-06 23:40:23.544042,2025-03-06 23:41:08.351833,0 days 00:00:44.807791,0.7223651931039312,1.9737738732010346,0.01909565280104538,5,1,131,0.9406590942262119,COMPLETE
