,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.6175063625763565,2025-03-03 15:51:05.303628,2025-03-03 15:51:07.660395,0 days 00:00:02.356767,16,0.4151604121961766,78,0.06395523324886998,3,COMPLETE
1,1,0.8561358495170454,2025-03-03 15:51:07.660395,2025-03-03 15:51:09.721735,0 days 00:00:02.061340,16,0.40917216012095414,236,0.044448535014743905,2,COMPLETE
2,2,0.26345263675522856,2025-03-03 15:51:09.721735,2025-03-03 15:51:09.987075,0 days 00:00:00.265340,64,0.4287762576856524,75,0.0008379758521643994,1,COMPLETE
3,3,0.849911539068461,2025-03-03 15:51:09.988230,2025-03-03 15:51:11.520477,0 days 00:00:01.532247,32,0.022281897219243896,223,0.012057256520201464,3,COMPLETE
4,4,0.41696479659864755,2025-03-03 15:51:11.521160,2025-03-03 15:51:11.781562,0 days 00:00:00.260402,128,0.40707706420101547,106,0.006682082741365156,2,COMPLETE
5,5,0.8481531734034515,2025-03-03 15:51:11.781562,2025-03-03 15:51:12.785996,0 days 00:00:01.004434,16,0.10101160979059487,150,0.009931645077815458,1,COMPLETE
6,6,0.8716451246476761,2025-03-03 15:51:12.785996,2025-03-03 15:51:13.439898,0 days 00:00:00.653902,32,0.013074902038290426,100,0.07805783936936952,2,COMPLETE
7,7,0.2703003337041157,2025-03-03 15:51:13.448406,2025-03-03 15:51:16.115797,0 days 00:00:02.667391,16,0.4148364551884036,251,2.043148658814941e-05,3,COMPLETE
8,8,0.20511553920747072,2025-03-03 15:51:16.115797,2025-03-03 15:51:16.889662,0 days 00:00:00.773865,32,0.10311214915163475,141,0.00011928703077185011,2,COMPLETE
9,9,0.2703003337041157,2025-03-03 15:51:16.889662,2025-03-03 15:51:17.618861,0 days 00:00:00.729199,32,0.061858183404968736,90,4.452476031586367e-05,3,COMPLETE
10,10,0.32454845075879596,2025-03-03 15:51:17.618861,2025-03-03 15:51:17.804874,0 days 00:00:00.186013,128,0.22968166057907022,35,0.0008169135216974068,1,COMPLETE
11,11,0.2432198382448405,2025-03-03 15:51:17.804874,2025-03-03 15:51:18.234357,0 days 00:00:00.429483,64,0.2912540887355632,189,0.07803307394647221,2,PRUNED
12,12,0.1096348899347106,2025-03-03 15:51:18.235364,2025-03-03 15:51:19.226799,0 days 00:00:00.991435,16,0.2533162361324951,173,0.026126853388962635,2,PRUNED
13,13,1.2733994126319885,2025-03-03 15:51:19.226799,2025-03-03 15:51:19.848263,0 days 00:00:00.621464,32,0.49970414948553477,215,0.002660177680072662,2,PRUNED
14,14,0.18076730978569344,2025-03-03 15:51:19.848263,2025-03-03 15:51:20.603406,0 days 00:00:00.755143,16,0.17637214580766727,127,0.0993873809667212,2,PRUNED
15,15,0.5069764610379934,2025-03-03 15:51:20.603406,2025-03-03 15:51:20.805024,0 days 00:00:00.201618,32,0.33491543757239445,41,0.025040798400033492,1,PRUNED
16,16,0.6699263264147968,2025-03-03 15:51:20.805024,2025-03-03 15:51:21.316598,0 days 00:00:00.511574,64,0.20260904301428873,179,0.0023889179458576977,2,COMPLETE
17,17,0.1372162485065711,2025-03-03 15:51:21.316598,2025-03-03 15:51:21.942381,0 days 00:00:00.625783,128,0.33989627630877045,247,0.00028188669267794014,3,COMPLETE
18,18,0.09794229997726855,2025-03-03 15:51:21.942381,2025-03-03 15:51:22.694527,0 days 00:00:00.752146,16,0.14021556869873947,118,0.02866739038344706,2,PRUNED
19,19,1.2370523512363434,2025-03-03 15:51:22.694527,2025-03-03 15:51:22.909576,0 days 00:00:00.215049,32,0.47656722726936096,60,0.0038391757744940017,1,PRUNED
