,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_size1,params_hidden_size2,params_learning_rate,state
0,0,0.14243415926445377,2025-03-05 16:30:40.016746,2025-03-05 16:30:40.407243,0 days 00:00:00.390497,32,0.3707666862573913,377,17,2.0167056893126568e-05,COMPLETE
1,1,0.4001493428912784,2025-03-05 16:30:40.409253,2025-03-05 16:30:40.691464,0 days 00:00:00.282211,64,0.4264509025833949,175,188,0.06647499371263657,COMPLETE
2,2,0.35824759216707674,2025-03-05 16:30:40.693691,2025-03-05 16:30:41.145470,0 days 00:00:00.451779,32,0.49826782489482546,84,162,0.07540815039644803,COMPLETE
3,3,0.4720702275964042,2025-03-05 16:30:41.146006,2025-03-05 16:30:41.652038,0 days 00:00:00.506032,16,0.2896656203780825,262,73,0.0719989718165673,COMPLETE
4,4,0.2611800937365895,2025-03-05 16:30:41.652038,2025-03-05 16:30:42.020591,0 days 00:00:00.368553,32,0.4710747075786954,260,89,2.2174428192343858e-05,COMPLETE
5,5,0.31929800685258625,2025-03-05 16:30:42.020591,2025-03-05 16:30:42.230984,0 days 00:00:00.210393,128,0.3655912384158627,457,48,0.0009536304956113169,COMPLETE
6,6,0.36137251704369294,2025-03-05 16:30:42.230984,2025-03-05 16:30:42.475897,0 days 00:00:00.244913,64,0.40620853089410014,223,123,0.05381193647804621,COMPLETE
7,7,0.5344615263717736,2025-03-05 16:30:42.475897,2025-03-05 16:30:43.113676,0 days 00:00:00.637779,16,0.43828883988688583,408,155,0.04971843110010083,COMPLETE
8,8,0.4938444756116565,2025-03-05 16:30:43.114205,2025-03-05 16:30:43.393415,0 days 00:00:00.279210,64,0.1322443038981128,329,87,0.03577450906573253,COMPLETE
9,9,0.5891661594643944,2025-03-05 16:30:43.393415,2025-03-05 16:30:43.551490,0 days 00:00:00.158075,128,0.24904372771093888,153,223,0.0018460824521346305,PRUNED
10,10,0.48317645470037013,2025-03-05 16:30:43.552310,2025-03-05 16:30:44.285474,0 days 00:00:00.733164,16,0.11187191624866794,501,215,0.004807877411346985,COMPLETE
11,11,0.49370199692780337,2025-03-05 16:30:44.286544,2025-03-05 16:30:44.593895,0 days 00:00:00.307351,64,0.16283522082708238,370,122,0.010071878205593644,COMPLETE
12,12,0.5891661594643944,2025-03-05 16:30:44.593895,2025-03-05 16:30:45.249810,0 days 00:00:00.655915,16,0.19843083656913055,368,149,0.00031083693875125706,PRUNED
13,13,0.4998244617821926,2025-03-05 16:30:45.249810,2025-03-05 16:30:45.569735,0 days 00:00:00.319925,64,0.29879339571854385,339,95,0.014177923136972179,COMPLETE
14,14,0.6776232745257252,2025-03-05 16:30:45.569735,2025-03-05 16:30:46.319841,0 days 00:00:00.750106,16,0.3166078149864968,432,256,0.013250809689406956,COMPLETE
15,15,0.7362753774780972,2025-03-05 16:30:46.319841,2025-03-05 16:30:46.974439,0 days 00:00:00.654598,16,0.33064553711932027,443,236,0.011450391597920724,COMPLETE
16,16,0.5891661594643944,2025-03-05 16:30:46.980223,2025-03-05 16:30:47.619357,0 days 00:00:00.639134,16,0.34417699897761855,512,250,0.00028020871652313905,PRUNED
17,17,0.7113930492428415,2025-03-05 16:30:47.619874,2025-03-05 16:30:48.270073,0 days 00:00:00.650199,16,0.24140143852741763,433,253,0.0045083231993471,COMPLETE
18,18,0.5089641559148741,2025-03-05 16:30:48.270073,2025-03-05 16:30:48.940409,0 days 00:00:00.670336,16,0.23538123942709685,462,217,0.0025186454288227767,COMPLETE
19,19,0.3884408602150538,2025-03-05 16:30:48.940409,2025-03-05 16:30:49.299911,0 days 00:00:00.359502,16,0.255025333396064,310,188,0.0006157658748141846,PRUNED
